iteration,D_null_free
1,77.48499999999999
2,109.32499999999999
3,11.014999999999986
4,73.22749999999999
5,3.7949999999999875
6,97.465
7,81.19750000000002
8,68.11499999999998
9,16.619999999999976
10,49.327499999999986
11,12.984999999999985
12,41.29249999999999
13,75.8425
14,213.35999999999999
15,102.6
16,61.79499999999999
17,25.88500000000002
18,21.7175
19,25.7175
20,14.085000000000008
21,23.057500000000005
22,103.91749999999999
23,16.72
24,5.9550000000000125
25,8.932500000000005
26,95.2875
27,24.892500000000013
28,74.18249999999998
29,39.55000000000001
30,122.845
31,53.45000000000002
32,7.859999999999999
33,62.83000000000001
34,55.66499999999999
35,42.05500000000001
36,74.05250000000001
37,3.0049999999999955
38,51.3425
39,38.504999999999995
40,13.45750000000001
41,57.620000000000005
42,91.595
43,28.424999999999983
44,43.985000000000014
45,64.92000000000002
46,16.247500000000002
47,116.7525
48,47.892499999999984
49,5.234999999999985
50,84.41499999999999
51,199.84
52,20.0625
53,10.819999999999993
54,49.89500000000001
55,53.662499999999994
56,52.78
57,107.75
58,81.155
59,64.1525
60,43.36500000000001
61,33.295000000000016
62,87.9125
63,34.465
64,15.477499999999992
65,78.1875
66,23.644999999999982
67,47.7225
68,18.557500000000005
69,24.787499999999994
70,7.16249999999998
71,24.39500000000001
72,15.399999999999977
73,56.59
74,57.07249999999999
75,4.814999999999998
76,50.7825
77,44.9675
78,31.952500000000015
79,12.492500000000007
80,57.95500000000001
81,12.664999999999992
82,52.067499999999995
83,39.97
84,4.88000000000001
85,63.92500000000001
86,6.14500000000001
87,7.347499999999997
88,61.56999999999999
89,4.125
90,7.132500000000022
91,24.142500000000013
92,31.642500000000013
93,56.807500000000005
94,2.894999999999996
95,53.4725
96,22.962500000000006
97,49.349999999999994
98,61.43000000000001
99,35.06
100,10.585000000000008
101,11.827499999999986
102,35.74250000000001
103,42.05250000000001
104,88.2225
105,9.407499999999999
106,96.505
107,21.417500000000018
108,21.25
109,22.07250000000002
110,11.959999999999994
111,12.097499999999997
112,9.377499999999998
113,113.685
114,68.775
115,199.85250000000002
116,46.7475
117,100.65
118,18.32499999999999
119,55.60249999999999
120,82.065
121,61.33250000000001
122,33.55000000000001
123,39.504999999999995
124,68.23750000000001
125,5.5575000000000045
126,40.267499999999984
127,14.215000000000003
128,71.07499999999999
129,73.03
130,14.289999999999992
131,68.8175
132,43.474999999999994
133,77.70249999999999
134,46.827499999999986
135,67.00999999999999
136,107.58250000000001
137,46.61749999999998
138,46.442499999999995
139,7.412500000000023
140,61.04000000000002
141,67.38250000000002
142,104.70499999999998
143,32.857500000000016
144,25.372500000000002
145,29.659999999999997
146,13.41749999999999
147,28.662499999999994
